wichita-state
g,36,0,36,0,36,36,36,36,35,36,36,36,35,28,25,24
fg_pct,.461,77th,.484,.456,.484,.452,.524,.552,.360,.452,.372,.244,.111,.125
fga,1942,66th
fg2_pct,.526,39th,.579,.553,.516,.509,.524,.552,.486,.452,.722,.154,.000,.000
fg2a,1229,167th
fg3_pct,.351,146th,.373,.380,.418,.371,0,0,.253,0,.120,.286,.167,.250
fg3a,713,48th
ft_pct,.725,80th,.844,.842,.830,.692,.641,.593,.587,.500,.412,1.000,.647,.000
fta,916,21st
pts_per_g,75.2,65th,16.4,13.1,11.6,10.3,7.9,5.9,5.1,2.6,1.2,1.1,0.6,0.1
orb,418,51st
drb,963,9th
ast,491,53rd
stl,247,48th
blk,184,22nd
tov,375,98th
pf,611,194th
opp_fg_pct,.390,11th
opp_fg2_pct,.436,31st
opp_fg3_pct,.308,29th
opp_orb,339,137th
opp_drb,776,202nd
opp_ast,356,60th
opp_stl,170,44th
opp_blk,93,52nd
opp_tov,435,98th
opp_pf,752,339th
opp_pts_per_g,59.5,9th
SOS:,1.73
ORtg:,116.1
DRtg:,91.8
cal-poly
g,34,0,34,0,34,34,28,34,34,33,34,34,9,22,25,29,33,6,4
fg_pct,.408,323rd,.400,.526,.360,.466,.361,.442,.348,.355,.240,.458,.353,.379,.310,.000,.000
fga,1850,134th
fg2_pct,.448,325th,.458,.526,.365,.471,.365,.528,.333,.360,.250,.500,.292,1.000,.310,0,.000
fg2a,1196,194th
fg3_pct,.333,224th,.292,0,.358,.000,.354,.194,.356,.300,.238,.452,.386,.339,0,.000,.000
fg3a,654,91st
ft_pct,.688,208th,.709,.686,.700,.707,.677,.786,.825,.617,1.000,1.000,.400,.333,.541,.000,0
fta,603,306th
pts_per_g,63.0,330th,13.5,11.7,9.1,6.1,4.6,4.1,4.0,3.5,3.0,3.0,2.7,2.5,1.4,0.0,0.0
orb,377,130th
drb,719,264th
ast,394,203rd
stl,198,175th
blk,93,252nd
tov,303,5th
pf,621,173rd
opp_fg_pct,.434,167th
opp_fg2_pct,.478,159th
opp_fg3_pct,.338,147th
opp_orb,341,144th
opp_drb,809,270th
opp_ast,418,214th
opp_stl,153,11th
opp_blk,120,216th
opp_tov,383,224th
opp_pf,539,33rd
opp_pts_per_g,63.6,37th
SOS:,1.69
ORtg:,103.5
DRtg:,104.5
kentucky
g,40,0,40,0,40,40,40,40,37,40,39,25,13,14,33,33,3,1,1
fg_pct,.454,118th,.501,.407,.423,.367,.596,.497,.569,.619,.308,.333,.306,.290,1.000,0,0
fga,2213,5th
fg2_pct,.500,122nd,.517,.470,.473,.373,.596,.556,.569,.619,.333,.667,.182,.467,1.000,0,0
fg2a,1602,4th
fg3_pct,.332,230th,.167,.349,.356,.351,0,.242,0,0,.300,.167,.360,.125,0,0,0
fg3a,611,136th
ft_pct,.682,238th,.706,.706,.790,.764,.482,.625,.447,.438,1.000,.750,.333,.385,0,0,0
fta,1146,1st
pts_per_g,74.8,71st,15.0,14.3,13.7,10.9,6.8,5.9,5.2,2.4,1.2,1.1,1.0,0.8,0.7,0.0,0.0
orb,573,1st
drb,1034,1st
ast,446,104th
stl,189,206th
blk,236,2nd
tov,481,334th
pf,732,20th
opp_fg_pct,.411,59th
opp_fg2_pct,.449,53rd
opp_fg3_pct,.322,67th
opp_orb,437,337th
opp_drb,794,244th
opp_ast,416,210th
opp_stl,232,321st
opp_blk,123,234th
opp_tov,428,113th
opp_pf,883,351st
opp_pts_per_g,66.6,81st
SOS:,9.89
ORtg:,112.4
DRtg:,100.1
kansas-state
g,33,0,33,0,33,31,31,33,33,33,30,33,33,21,15,13,6,18
fg_pct,.434,223rd,.423,.562,.384,.381,.461,.503,.373,.506,.422,.246,.214,.500,.250,.333
fga,1840,147th
fg2_pct,.483,206th,.450,.562,.446,.500,.467,.503,.490,.511,.515,.263,.333,.667,.250,.500
fg2a,1242,154th
fg3_pct,.331,234th,.395,0,.306,.336,.412,0,.279,.000,.167,.167,.182,.000,0,.000
fg3a,598,160th
