villanova
g,34,0,34,0,34,34,34,34,34,34,3,29,21,7,7,7,7
fg_pct,.497,6th,.508,.541,.397,.559,.457,.503,.263,.692,.429,.500,0,0,0
fga,1837,207th
fg2_pct,.597,2nd,.575,.614,.444,.713,.584,.636,.222,.692,.545,0,0,0,0
fg2a,1027,311th
fg3_pct,.370,81st,.407,.396,.372,.393,.336,.269,.300,0,.000,.500,0,0,0
fg3a,810,39th
ft_pct,.794,2nd,.753,.875,.864,.906,.709,.698,1.000,.674,.667,0,0,0,.000
fta,649,192nd
pts_per_g,77.7,73rd,18.9,14.8,13.4,9.9,8.3,7.1,5.7,4.7,1.0,0.4,0.0,0.0,0.0
orb,291,274th
drb,844,117th
ast,486,75th
stl,246,33rd
blk,105,178th
tov,381,68th
pf,482,346th
opp_fg_pct,.418,75th
opp_fg2_pct,.489,171st
opp_fg3_pct,.313,24th
opp_orb,321,146th
opp_drb,691,14th
opp_ast,462,278th
opp_stl,176,85th
opp_blk,63,4th
opp_tov,452,100th
opp_pf,622,205th
opp_pts_per_g,62.8,17th
SOS:,9.87
ORtg:,118.0
DRtg:,95.4
mount-st-marys
g,35,0,35,0,35,35,34,34,35,35,30,32,12,32,6,26,5
fg_pct,.446,161st,.420,.425,.461,.389,.577,.519,.284,.611,.333,.462,.400,.389,.000
fga,1920,109th
fg2_pct,.495,176th,.430,.449,.508,.543,.583,.519,.333,.623,.250,.462,1.000,.500,.000
fg2a,1211,142nd
fg3_pct,.361,130th,.395,.399,.367,.362,.000,0,.283,.000,.375,0,.250,.000,0
fg3a,709,132nd
ft_pct,.672,276th,.740,.868,.734,.619,.315,.489,.600,.400,.833,.643,0,.625,0
fta,628,223rd
pts_per_g,68.3,289th,15.1,14.3,11.5,7.9,7.1,6.1,3.3,2.2,1.3,1.0,0.8,0.7,0.0
orb,264,314th
drb,791,209th
ast,393,255th
stl,217,116th
blk,137,72nd
tov,463,293rd
pf,625,120th
opp_fg_pct,.451,237th
opp_fg2_pct,.492,192nd
opp_fg3_pct,.340,130th
opp_orb,416,343rd
opp_drb,892,330th
opp_ast,391,94th
opp_stl,225,304th
opp_blk,96,103rd
opp_tov,521,17th
opp_pf,657,274th
opp_pts_per_g,68.5,83rd
SOS:,-4.11
ORtg:,99.3
DRtg:,99.7
wisconsin
g,34,0,34,0,33,34,34,34,34,34,32,28,22,32,25,13,12,16,9
fg_pct,.452,130th,.417,.584,.450,.495,.393,.391,.535,.389,.351,.358,.333,.353,.167,.250,.000
fga,1971,67th
fg2_pct,.508,127th,.459,.584,.481,.631,.517,.348,.575,.396,.471,.526,.400,.333,.500,.250,.000
fg2a,1249,108th
fg3_pct,.356,150th,.389,0,.313,.397,.304,.439,.308,.333,.250,.265,.250,.375,.000,0,.000
fg3a,722,117th
ft_pct,.644,336th,.898,.500,.585,.830,.759,.789,.548,.900,.737,.571,.500,.750,1.000,.500,0
fta,632,220th
pts_per_g,71.9,206th,14.1,13.9,13.5,8.3,6.7,5.9,3.7,2.2,2.0,1.6,1.4,1.4,0.3,0.2,0.0
orb,421,23rd
drb,848,107th
ast,461,114th
stl,233,62nd
blk,120,120th
tov,373,55th
pf,535,305th
opp_fg_pct,.410,41st
opp_fg2_pct,.426,10th
opp_fg3_pct,.377,311th
opp_orb,288,60th
opp_drb,766,108th
opp_ast,346,24th
opp_stl,182,103rd
opp_blk,105,167th
opp_tov,442,121st
opp_pf,620,198th
opp_pts_per_g,61.4,9th
SOS:,8.84
ORtg:,110.2
DRtg:,94.1
virginia-tech
g,32,0,32,0,31,1,31,32,24,32,32,32,31,3,14,1
fg_pct,.490,12th,.533,.455,.550,.450,.588,.419,.405,.478,.568,1.000,.111,.000
fga,1764,268th
fg2_pct,.548,20th,.570,.455,.620,.549,.618,.469,.385,.440,.564,1.000,0,.000
fg2a,1061,290th
fg3_pct,.403,12th,.275,0,.455,.380,.231,.358,.419,.486,1.000,0,.111,0
fg3a,703,140th
ft_pct,.734,73rd,.771,1.000,.728,.737,.675,.758,.744,.769,.593,.500,0,0
fta,715,108th
pts_per_g,79.3,47th,16.3,14.0,13.1,11.7,11.4,10.3,9.5,6.0,4.0,3.7,0.2,0.0
orb,234,331st
drb,809,179th
ast,483,80th
stl,128,345th
blk,89,236th
tov,388,79th
pf,525,320th
opp_fg_pct,.445,214th
opp_fg2_pct,.491,189th
opp_fg3_pct,.360,247th
opp_orb,345,220th
opp_drb,764,102nd
opp_ast,431,194th
opp_stl,175,82nd
opp_blk,126,292nd
opp_tov,375,290th
opp_pf,611,176th
opp_pts_per_g,74.4,231st
SOS:,8.73
ORtg:,112.5
DRtg:,105.6
virginia
g,32,0,32,0,32,1,32,32,32,32,31,32,31,30,32,10,5,11
fg_pct,.464,71st,.413,.571,.417,.446,.447,.556,.449,.495,.586,.554,.540,.444,.333,.083
fga,1717,300th
fg2_pct,.500,158th,.447,.667,.434,.482,.388,.555,.517,.667,.586,.589,.540,.750,.000,.000
fg2a,1147,223rd
fg3_pct,.393,23rd,.380,.000,.386,.300,.505,.571,.366,.412,0,.300,0,.200,.500,.125
fg3a,570,298th
ft_pct,.708,151st,.810,1.000,.769,.771,.714,.702,.645,.778,.783,.531,.488,.000,0,.000
fta,442,349th
pts_per_g,66.6,313th,12.5,11.0,8.7,8.6,7.8,7.0,6.1,4.4,3.9,3.7,3.6,0.9,0.6,0.3
orb,282,289th
drb,772,250th
ast,456,125th
stl,181,228th
blk,130,82nd
tov,305,2nd
pf,520,323rd
opp_fg_pct,.396,13th
opp_fg2_pct,.450,32nd
opp_fg3_pct,.313,25th
opp_orb,246,6th
opp_drb,700,23rd
opp_ast,308,5th
opp_stl,158,27th
opp_blk,88,55th
opp_tov,413,199th
opp_pf,470,4th
opp_pts_per_g,55.6,1st
SOS:,11.32
ORtg:,109.1
DRtg:,91.1
north-carolina-wilmington
g,34,0,34,0,34,34,34,34,34,29,27,29,34,22,13,11
fg_pct,.482,21st,.491,.473,.398,.799,.433,.391,.422,.412,.528,.519,.300,.444
fga,2170,6th
fg2_pct,.563,12th,.548,.581,.466,.799,.545,.406,.476,.357,.528,.519,.500,.429
fg2a,1279,78th
fg3_pct,.366,105th,.336,.358,.366,0,.405,.341,.259,.450,0,0,.167,.500
fg3a,891,10th
ft_pct,.692,209th,.685,.774,.711,.581,.727,.800,.750,.563,.512,.583,.833,0
fta,691,129th
pts_per_g,85.2,10th,17.6,15.8,14.5,12.3,8.1,7.8,4.6,3.2,2.3,1.6,0.9,0.8
orb,408,37th
drb,813,170th
ast,549,20th
stl,230,68th
blk,113,147th
tov,354,26th
pf,679,35th
opp_fg_pct,.477,337th
opp_fg2_pct,.534,322nd
opp_fg3_pct,.336,105th
opp_orb,316,134th
opp_drb,835,253rd
opp_ast,424,169th
opp_stl,166,46th
opp_blk,92,78th
opp_tov,496,30th
opp_pf,643,250th
opp_pts_per_g,74.9,244th
SOS:,-0.99
ORtg:,118.3
DRtg:,104.1
florida
g,32,0,32,0,32,31,32,32,24,32,32,32,30,17,19,11
fg_pct,.450,142nd,.460,.425,.468,.403,.496,.418,.407,.588,.417,.652,.450,.667
fga,1892,147th
fg2_pct,.500,158th,.534,.484,.512,.433,.492,.456,.523,.593,.509,1.000,.474,.667
fg2a,1207,145th
fg3_pct,.362,123rd,.399,.347,.389,.211,1.000,.390,.291,.000,.302,.579,.000,0
fg3a,685,160th
ft_pct,.726,98th,.872,.878,.728,.655,.567,.769,.778,.690,.667,.500,.615,.167
fta,764,48th
pts_per_g,78.3,63rd,13.9,12.1,10.9,9.8,7.8,7.0,6.9,6.0,3.8,2.5,1.4,1.2
orb,367,102nd
drb,826,147th
ast,403,234th
stl,243,41st
blk,150,48th
tov,378,61st
pf,594,197th
opp_fg_pct,.408,36th
opp_fg2_pct,.455,54th
opp_fg3_pct,.307,14th
opp_orb,337,192nd
opp_drb,794,159th
opp_ast,305,3rd
opp_stl,174,77th
opp_blk,91,72nd
opp_tov,479,48th
opp_pf,667,293rd
opp_pts_per_g,66.6,49th
SOS:,10.48
ORtg:,110.1
DRtg:,93.6
east-tennessee-state
g,34,0,34,0,34,33,34,34,34,34,34,9,33,34,23,14,8
fg_pct,.491,10th,.454,.474,.544,.516,.595,.524,.425,.478,.405,.627,.293,.375,.600
fga,1905,127th
fg2_pct,.549,18th,.511,.535,.571,.537,.599,.600,.475,.571,.545,.627,.250,.409,.500
fg2a,1236,124th
fg3_pct,.383,44th,.404,.354,.200,.464,.000,.400,.398,.438,.138,0,.320,.000,.667
fg3a,669,185th
ft_pct,.704,165th,.818,.783,.745,.756,.561,.600,.780,1.000,.630,.385,.813,.857,.667
fta,840,8th
pts_per_g,79.9,40th,19.1,10.6,8.9,8.6,8.4,7.4,6.8,4.0,3.6,3.5,2.0,1.7,1.5
orb,345,155th
drb,892,54th
ast,504,52nd
stl,284,10th
