villanova
g,36,0,36,0,35,36,36,36,36,36,36,36,27,15,15,16
fg_pct,.470,37th,.440,.394,.515,.417,.453,.644,.416,.563,.714,.667,.200,.143
fga,1951,49th
fg2_pct,.530,27th,.500,.419,.558,.481,.466,.644,.594,.645,.714,1.000,0,.000
fg2a,1114,218th
fg3_pct,.389,25th,.387,.372,.464,.363,.000,0,.372,.485,0,.000,.200,.167
fg3a,837,11th
ft_pct,.731,48th,.796,.813,.670,.619,.777,.692,.780,.739,.400,.000,0,0
fta,815,22nd
pts_per_g,76.5,23rd,14.3,10.1,10.1,9.9,9.7,9.2,6.3,5.8,1.4,0.3,0.2,0.2
orb,371,122nd
drb,864,53rd
ast,570,12th
stl,278,14th
blk,146,62nd
tov,382,97th
pf,596,158th
opp_fg_pct,.406,72nd
opp_fg2_pct,.453,91st
opp_fg3_pct,.305,23rd
opp_orb,392,301st
opp_drb,771,213th
opp_ast,430,258th
opp_stl,196,155th
opp_blk,96,84th
opp_tov,508,19th
opp_pf,702,329th
opp_pts_per_g,60.9,42nd
SOS:,7.55
ORtg:,116.9
DRtg:,93.1
lafayette
g,33,0,33,0,33,33,31,32,33,31,33,33,32,20,10,18,16,13,24
fg_pct,.485,11th,.576,.489,.490,.477,.423,.382,.465,.486,.426,.353,.375,.286,.364,1.000,.600
fga,1799,144th
fg2_pct,.527,34th,.576,.564,.527,.561,.462,.357,.471,.519,.500,.353,.333,.375,.400,1.000,.600
fg2a,1159,172nd
fg3_pct,.408,4th,0,.388,.397,.447,.395,.410,.000,.467,.316,0,.400,.167,.333,0,0
fg3a,640,112th
ft_pct,.767,7th,.780,.839,.850,.917,.776,.583,.629,.647,.625,.400,0,.750,0,.375,.333
fta,549,310th
pts_per_g,73.5,39th,17.3,13.1,12.5,9.4,8.3,4.7,3.1,3.1,1.6,0.8,0.8,0.7,0.6,0.4,0.3
orb,282,299th
drb,735,221st
ast,514,31st
stl,181,247th
blk,83,275th
tov,366,50th
pf,515,315th
opp_fg_pct,.461,318th
opp_fg2_pct,.510,304th
opp_fg3_pct,.381,333rd
opp_orb,378,274th
opp_drb,712,80th
opp_ast,459,319th
opp_stl,198,172nd
opp_blk,103,134th
opp_tov,362,279th
opp_pf,547,71st
opp_pts_per_g,73.0,317th
SOS:,-3.12
ORtg:,112.9
DRtg:,112.2
north-carolina-state
g,36,0,36,0,35,36,35,34,36,36,36,35,19,28,5,5,5,5,5
fg_pct,.436,166th,.436,.394,.439,.467,.468,.356,.610,.447,.475,.351,.375,.250,.500,.400,.250
fga,2054,25th
fg2_pct,.473,211th,.473,.448,.455,.462,.475,.418,.610,.447,.538,.413,1.000,.500,.500,.667,.500
fg2a,1393,23rd
fg3_pct,.357,113th,.392,.367,.380,.538,.200,.305,0,0,.000,.091,.286,.167,0,.000,.000
fg3a,661,90th
ft_pct,.686,198th,.738,.838,.733,.718,.563,.695,.557,.500,.529,.809,0,.500,0,.000,0
fta,727,83rd
pts_per_g,70.1,102nd,15.7,12.8,12.1,6.8,6.4,4.8,4.5,3.6,3.4,2.8,1.6,1.2,0.8,0.8,0.4
orb,435,31st
drb,934,18th
ast,415,154th
stl,138,337th
blk,184,12th
tov,375,71st
pf,637,78th
opp_fg_pct,.403,60th
opp_fg2_pct,.436,40th
opp_fg3_pct,.330,110th
opp_orb,402,318th
opp_drb,845,319th
opp_ast,426,248th
opp_stl,191,123rd
opp_blk,141,330th
opp_tov,349,299th
opp_pf,681,311th
opp_pts_per_g,65.8,146th
SOS:,9.72
ORtg:,108.0
DRtg:,101.2
louisiana-state
g,33,0,33,0,33,31,33,33,31,31,29,14,16,3,3,25,11,1,1
fg_pct,.455,79th,.509,.504,.422,.427,.396,.408,.538,.333,.571,.500,1.000,.381,.429,0,.000
fga,1962,47th
fg2_pct,.501,90th,.545,.514,.449,.515,.439,.470,.538,.375,.571,.000,0,.500,.429,0,.000
fg2a,1404,21st
fg3_pct,.339,195th,.269,.111,.393,.313,.264,.373,0,.250,0,1.000,1.000,.000,0,0,0
fg3a,558,233rd
ft_pct,.684,209th,.690,.646,.784,.718,.583,.842,.636,0,.667,0,0,.500,.000,0,0
fta,658,161st
pts_per_g,73.4,42nd,16.9,15.4,13.4,11.5,7.1,6.8,2.2,1.3,1.3,1.0,1.0,0.9,0.5,0.0,0.0
orb,401,69th
drb,893,32nd
ast,516,28th
stl,240,62nd
blk,204,7th
tov,476,327th
pf,516,313th
opp_fg_pct,.402,53rd
opp_fg2_pct,.440,51st
opp_fg3_pct,.309,31st
opp_orb,438,342nd
opp_drb,781,239th
opp_ast,386,136th
opp_stl,264,347th
opp_blk,123,264th
opp_tov,450,73rd
opp_pf,584,170th
opp_pts_per_g,67.7,203rd
SOS:,5.63
ORtg:,103.1
DRtg:,95.0
northern-iowa
g,35,0,35,0,35,35,35,35,35,35,35,35,35,28,19,16,12
fg_pct,.480,19th,.604,.470,.486,.411,.483,.406,.424,.528,.418,.536,.429,.000,.000
fga,1618,291st
fg2_pct,.533,22nd,.633,.529,.511,.399,.677,.529,.569,.575,.392,.536,.200,.000,.000
fg2a,973,320th
fg3_pct,.398,11th,.432,.408,.395,.439,.429,.391,.333,.143,.472,0,1.000,.000,0
fg3a,645,107th
ft_pct,.733,44th,.764,.800,.681,.706,.864,.769,.731,.644,.852,.529,.667,.667,0
fta,644,181st
pts_per_g,65.2,232nd,15.3,7.7,7.6,7.5,5.9,5.7,5.6,4.7,3.8,1.4,0.6,0.1,0.0
orb,254,331st
drb,817,99th
ast,413,155th
stl,207,158th
blk,84,269th
tov,363,42nd
pf,508,321st
opp_fg_pct,.395,29th
opp_fg2_pct,.440,52nd
opp_fg3_pct,.321,67th
opp_orb,301,80th
opp_drb,690,44th
opp_ast,332,20th
opp_stl,167,39th
opp_blk,83,21st
opp_tov,391,225th
opp_pf,646,280th
opp_pts_per_g,54.6,4th
SOS:,2.00
ORtg:,111.9
DRtg:,93.8
wyoming
g,35,0,35,0,31,35,34,35,34,35,15,31,20,14,25,22
fg_pct,.461,59th,.514,.437,.377,.720,.386,.407,.677,.474,.310,.500,.268,.111
fga,1619,289th
fg2_pct,.551,10th,.538,.524,.415,.719,.441,.553,.677,.600,.417,.500,.429,.167
fg2a,977,317th
fg3_pct,.326,253rd,.333,.324,.367,1.000,.344,.338,0,.174,.267,0,.185,.000
fg3a,642,111th
ft_pct,.702,133rd,.786,.743,.939,.543,.456,.429,.600,.593,.500,.600,.700,.667
fta,638,189th
pts_per_g,61.5,309th,16.1,12.8,9.1,8.1,6.9,3.7,3.4,3.0,2.1,1.4,1.4,0.4
orb,216,344th
drb,831,79th
ast,501,40th
stl,191,207th
blk,102,206th
tov,392,129th
pf,481,341st
opp_fg_pct,.403,59th
opp_fg2_pct,.433,33rd
opp_fg3_pct,.348,210th
opp_orb,298,70th
opp_drb,754,168th
opp_ast,350,46th
opp_stl,187,94th
opp_blk,79,12th
opp_tov,377,260th
opp_pf,645,278th
opp_pts_per_g,56.4,7th
SOS:,-0.04
ORtg:,103.1
DRtg:,94.6
louisville
g,36,0,36,0,36,35,26,36,36,35,34,31,4,23,23,30,21,4,8,3
fg_pct,.429,209th,.411,.566,.379,.395,.349,.616,.388,.353,.333,.262,.481,.520,.267,.400,.200,.000
fga,2048,29th
fg2_pct,.484,154th,.456,.602,.403,.471,.400,.616,.388,.452,.000,.316,.462,.520,.000,.400,1.000,0
fg2a,1404,21st
fg3_pct,.307,311th,.306,.243,.339,.331,.284,0,0,.256,.400,.217,1.000,0,.400,0,.000,.000
fg3a,644,108th
ft_pct,.668,258th,.790,.597,.730,.780,.553,.467,.481,.368,0,.400,.400,.750,.706,.000,.667,0
fta,792,34th
pts_per_g,69.0,135th,17.1,15.7,13.7,11.6,4.1,3.0,2.6,2.5,1.5,1.3,1.3,1.2,1.1,1.0,0.5,0.0
orb,454,16th
drb,897,31st
ast,419,148th
stl,283,11th
blk,192,9th
tov,408,178th
pf,623,105th
opp_fg_pct,.392,23rd
opp_fg2_pct,.433,32nd
opp_fg3_pct,.303,19th
opp_orb,400,314th
opp_drb,856,327th
opp_ast,424,245th
opp_stl,206,218th
opp_blk,99,108th
opp_tov,506,21st
opp_pf,692,318th
opp_pts_per_g,59.8,24th
SOS:,8.98
ORtg:,104.5
DRtg:,90.7
california-irvine
g,34,0,34,0,34,15,28,30,34,33,25,27,34,33,34,16,12,10
fg_pct,.461,59th,.543,.634,.357,.411,.462,.423,.566,.452,.452,.400,.465,.533,.273,1.000
fga,1851,101st
fg2_pct,.493,116th,.544,.640,.427,.446,.458,.354,.566,.473,.486,.394,.469,.500,.286,1.000
fg2a,1293,72nd
fg3_pct,.389,27th,.000,.000,.303,.338,.462,.484,0,.368,.286,.414,.000,.556,.250,0
fg3a,558,233rd
ft_pct,.684,209th,.707,.526,.722,.754,.848,.839,.588,.676,.615,.580,.676,.643,.000,0
fta,541,315th
pts_per_g,67.5,172nd,12.9,10.5,10.5,9.4,7.4,6.6,5.3,4.2,3.8,3.7,3.4,1.9,0.6,0.4
orb,329,206th
drb,869,48th
ast,480,60th
stl,194,198th
blk,168,28th
tov,396,147th
pf,578,204th
opp_fg_pct,.394,26th
opp_fg2_pct,.415,7th
opp_fg3_pct,.339,166th
opp_orb,382,281st
opp_drb,762,185th
opp_ast,364,73rd
opp_stl,195,149th
opp_blk,96,84th
opp_tov,384,242nd
opp_pf,568,133rd
opp_pts_per_g,62.1,60th
SOS:,0.45
ORtg:,105.2
DRtg:,96.8
providence
g,34,0,34,0,34,33,34,32,34,33,34,34,31,21,8,7,3
fg_pct,.438,152nd,.446,.474,.421,.449,.436,.361,.380,.660,.326,.375,.250,.143,.000
fga,1889,77th
fg2_pct,.489,129th,.508,.505,.473,.454,.465,.480,.477,.660,.371,.500,.250,.000,0
fg2a,1343,40th
fg3_pct,.313,295th,.339,.351,.286,.400,.300,.330,.121,0,.182,.357,0,.200,.000
fg3a,546,248th
ft_pct,.707,115th,.759,.686,.734,.725,.695,.556,.742,.600,.656,.571,.500,0,0
fta,768,47th
pts_per_g,69.7,111th,19.7,15.6,9.9,6.7,6.4,3.8,3.5,2.6,1.7,1.0,0.6,0.4,0.0
orb,411,52nd
drb,817,99th
ast,474,65th
stl,242,54th
blk,155,44th
tov,407,175th
pf,628,96th
