ohio-state
g,37,0,37,0,37,36,37,37,37,37,37,25,10,20,9
fg_pct,.494,2nd,.541,.462,.507,.468,.479,.461,.733,.290,.500,.450,.000
fga,2059,31st
fg2_pct,.529,14th,.550,.471,.525,.490,.542,.514,.733,.333,.667,.667,.000
fg2a,1385,34th
fg3_pct,.423,1st,.250,.442,.502,.429,.328,.377,0,.250,.000,.125,.000
fg3a,674,64th
ft_pct,.701,138th,.704,.843,.810,.627,.797,.727,.308,.533,.222,.833,.500
fta,763,75th
pts_per_g,77.1,19th,17.2,14.4,12.6,12.1,7.5,6.9,4.2,2.1,1.8,1.2,0.1
orb,419,62nd
drb,858,49th
ast,587,6th
stl,263,43rd
blk,118,127th
tov,375,37th
pf,519,316th
opp_fg_pct,.424,132nd
opp_fg2_pct,.469,145th
opp_fg3_pct,.340,164th
opp_orb,341,126th
opp_drb,755,188th
opp_ast,424,212th
opp_stl,150,6th
opp_blk,119,252nd
opp_tov,552,13th
opp_pf,697,308th
opp_pts_per_g,59.7,10th
SOS:,8.38
ORtg:,120.0
DRtg:,92.8
texas-san-antonio
g,34,0,34,0,34,34,34,34,34,25,34,30,15,26,26,12,4,22
fg_pct,.429,213th,.423,.417,.475,.407,.377,.422,.602,.397,.320,.404,.357,.364,.500,.238
fga,1871,92nd
fg2_pct,.472,214th,.460,.469,.504,.429,.424,.422,.602,.455,.455,.404,.875,.333,.500,.313
fg2a,1204,163rd
fg3_pct,.351,141st,.303,.370,.400,.375,.348,0,0,.370,.214,0,.235,.500,0,.000
fg3a,667,76th
ft_pct,.705,128th,.781,.859,.634,.739,.500,.639,.356,.650,.750,.778,.364,.000,.500,.750
fta,774,62nd
pts_per_g,70.1,127th,17.0,14.9,13.4,6.5,5.1,4.0,3.6,2.8,2.1,1.9,1.6,0.8,0.8,0.6
orb,363,169th
drb,823,82nd
ast,430,131st
stl,240,77th
blk,76,288th
tov,461,240th
pf,657,72nd
opp_fg_pct,.419,102nd
opp_fg2_pct,.476,178th
opp_fg3_pct,.332,113th
opp_orb,413,298th
opp_drb,827,298th
opp_ast,443,247th
opp_stl,199,147th
opp_blk,112,204th
opp_tov,480,82nd
opp_pf,696,307th
opp_pts_per_g,69.5,217th
SOS:,-4.93
ORtg:,102.0
DRtg:,101.1
george-mason
g,34,0,34,0,34,34,33,34,34,34,32,32,27,28,33,22,6
fg_pct,.471,26th,.479,.511,.494,.418,.562,.442,.472,.478,.302,.368,.381,.333,.000
fga,1861,99th
fg2_pct,.504,75th,.506,.529,.542,.466,.562,.462,.436,.485,.367,.382,.432,.545,.000
fg2a,1287,97th
fg3_pct,.395,11th,.432,.400,.359,.386,0,.412,.493,.000,.154,.250,.000,.100,0
fg3a,574,173rd
ft_pct,.689,180th,.750,.708,.810,.833,.394,.667,.667,.688,.692,.688,.556,.750,0
fta,718,112th
pts_per_g,72.8,68th,15.1,14.2,10.9,9.5,6.8,6.2,4.5,2.4,1.4,1.4,1.1,0.8,0.0
orb,364,165th
drb,824,79th
ast,483,70th
stl,224,107th
blk,110,159th
tov,376,39th
pf,581,220th
opp_fg_pct,.412,66th
opp_fg2_pct,.455,84th
opp_fg3_pct,.326,74th
opp_orb,376,230th
opp_drb,741,155th
opp_ast,393,125th
opp_stl,183,75th
opp_blk,110,192nd
opp_tov,454,133rd
opp_pf,668,273rd
opp_pts_per_g,62.5,37th
SOS:,1.37
ORtg:,111.9
DRtg:,96.1
villanova
g,33,0,33,0,33,29,33,33,33,32,32,25,27,3,7
fg_pct,.438,158th,.419,.433,.399,.502,.498,.360,.491,.417,.538,0,0
fga,1819,136th
fg2_pct,.482,167th,.481,.436,.464,.510,.498,.415,.491,.588,.538,0,0
fg2a,1215,155th
