duke
pts_per_g,71.4,113th,17.8,10.5,9.6,9.3,9.2,7.2,5.1,4.9,2.9,1.9,1.6,0.5,0.4,0.4,0.3,0.3
orb,400,102nd
drb,852,58th
ast,417,163rd
stl,223,147th
blk,113,152nd
tov,417,104th
pf,619,122nd
opp_fg_pct,.410,68th
opp_fg2_pct,.449,64th
opp_fg3_pct,.334,136th
opp_orb,357,157th
opp_drb,803,278th
opp_ast,411,167th
opp_stl,217,191st
opp_blk,148,329th
opp_tov,473,106th
opp_pf,746,337th
opp_pts_per_g,64.5,67th
SOS:,9.80
ORtg:,106.2
DRtg:,95.9
utah-state
g,35,0,35,0,35,35,33,33,35,34,35,22,21,26,34,17
fg_pct,.488,9th,.574,.412,.562,.446,.444,.477,.570,.409,.618,.441,.429,.278
fga,1928,78th
fg2_pct,.520,35th,.577,.403,.562,.515,.493,.448,.570,.462,.618,.448,.429,.455
fg2a,1343,63rd
fg3_pct,.414,3rd,.000,.421,0,.356,.421,.500,0,.375,0,.000,.429,.000
fg3a,585,160th
ft_pct,.758,10th,.701,.901,.815,.547,.881,.840,.741,.929,.583,.800,.722,.333
fta,574,286th
pts_per_g,73.1,81st,13.7,12.4,10.3,8.7,8.0,7.6,6.0,3.7,2.7,2.3,1.9,0.6
orb,362,186th
drb,876,39th
ast,584,7th
stl,162,312th
blk,123,113th
tov,358,17th
pf,562,236th
opp_fg_pct,.405,49th
opp_fg2_pct,.446,56th
opp_fg3_pct,.322,79th
opp_orb,322,69th
opp_drb,708,82nd
opp_ast,390,123rd
opp_stl,169,27th
opp_blk,109,174th
opp_tov,392,279th
opp_pf,551,86th
opp_pts_per_g,59.9,13th
SOS:,1.23
ORtg:,116.5
DRtg:,95.5
purdue
g,35,0,35,0,35,27,35,35,35,35,29,31,24,16,35,24,8,7,6,6
fg_pct,.443,129th,.445,.456,.507,.379,.565,.442,.307,.325,.338,.340,.365,.600,1.000,.333,.200,.000
fga,1957,67th
fg2_pct,.497,105th,.488,.517,.512,.495,.616,.465,.370,.462,.379,.400,.375,.667,1.000,.000,.200,0
fg2a,1369,52nd
fg3_pct,.318,265th,.349,.364,.000,.287,.273,.000,.271,.297,.306,.100,.250,.571,0,1.000,0,.000
fg3a,588,155th
ft_pct,.723,61st,.730,.902,.718,.754,.747,.466,.593,.917,.500,.444,.632,.444,1.000,0,0,.000
fta,755,72nd
pts_per_g,70.5,133rd,16.4,15.7,15.5,6.6,6.5,3.4,2.6,2.6,2.4,2.4,1.5,1.5,0.5,0.4,0.3,0.0
orb,351,212th
drb,819,87th
ast,493,55th
stl,248,75th
blk,162,34th
tov,381,33rd
pf,651,65th
opp_fg_pct,.399,29th
opp_fg2_pct,.416,8th
opp_fg3_pct,.354,246th
opp_orb,381,223rd
opp_drb,844,324th
opp_ast,378,88th
opp_stl,182,48th
opp_blk,91,68th
opp_tov,549,20th
opp_pf,661,282nd
opp_pts_per_g,61.3,30th
SOS:,8.81
ORtg:,105.3
DRtg:,91.5
siena
g,34,0,34,0,34,30,34,33,34,24,34,33,18,8,16,7,4,18,14
fg_pct,.454,73rd,.555,.472,.571,.428,.318,.404,.514,.313,.271,.417,.250,.400,.000,.429,.125
fga,2048,34th
fg2_pct,.497,104th,.555,.489,.580,.516,.360,.534,.514,.333,.111,.429,.286,.250,.000,.429,.167
fg2a,1550,7th
fg3_pct,.321,255th,0,.397,.167,.357,.218,.268,0,.289,.367,.400,.000,1.000,.000,0,.000
fg3a,498,274th
ft_pct,.673,229th,.668,.659,.767,.726,.641,.813,.370,.652,.750,.750,.769,.667,1.000,.667,.167
fta,793,49th
pts_per_g,75.1,49th,16.1,15.3,13.8,13.6,7.0,5.0,2.7,2.7,2.2,1.9,1.1,1.0,0.5,0.4,0.2
orb,442,47th
drb,868,45th
ast,486,60th
stl,298,15th
blk,119,130th
tov,418,107th
pf,471,340th
opp_fg_pct,.428,156th
opp_fg2_pct,.474,169th
opp_fg3_pct,.328,102nd
opp_orb,364,182nd
opp_drb,804,281st
opp_ast,469,303rd
opp_stl,207,152nd
opp_blk,113,202nd
opp_tov,517,42nd
opp_pf,630,239th
opp_pts_per_g,65.5,93rd
SOS:,-1.17
ORtg:,106.6
DRtg:,92.9
notre-dame
g,35,0,35,0,30,35,35,35,35,34,35,22,13,21,8,8
fg_pct,.470,34th,.481,.495,.454,.406,.542,.493,.410,.484,.455,.400,.500,.400
fga,1953,68th
fg2_pct,.513,56th,.514,.564,.508,.449,.542,.583,.426,.458,.500,.400,.500,.400
fg2a,1280,108th
fg3_pct,.388,22nd,.309,.429,.414,.347,0,.352,.392,.571,.250,0,.500,0
fg3a,673,69th
ft_pct,.723,62nd,.787,.873,.729,.635,.602,.762,.667,.688,.429,.333,0,0
fta,744,80th
pts_per_g,75.3,47th,21.8,16.1,12.0,9.6,7.8,5.0,3.4,2.0,1.8,1.0,1.0,0.5
orb,402,96th
drb,848,63rd
ast,585,6th
stl,194,230th
blk,104,180th
tov,362,21st
pf,530,299th
opp_fg_pct,.435,192nd
opp_fg2_pct,.478,191st
opp_fg3_pct,.349,215th
opp_orb,372,200th
opp_drb,756,177th
opp_ast,487,327th
opp_stl,209,159th
opp_blk,117,233rd
opp_tov,361,320th
opp_pf,633,242nd
opp_pts_per_g,68.4,184th
SOS:,6.22
ORtg:,116.4
DRtg:,105.7
old-dominion
g,36,0,36,0,36,36,36,36,36,36,35,36,29,32,30
fg_pct,.447,98th,.541,.540,.420,.486,.448,.356,.397,.364,.286,.368,.372
fga,2061,30th
fg2_pct,.492,127th,.539,.540,.497,.512,.491,.400,.485,.485,.286,.378,.410
fg2a,1538,9th
fg3_pct,.317,266th,.583,0,.325,.300,.347,.300,.300,.312,0,.000,.000
fg3a,523,239th
ft_pct,.648,295th,.759,.656,.675,.486,.658,.641,.714,.667,.435,.636,.615
fta,625,229th
pts_per_g,67.1,216th,14.4,9.2,8.8,8.4,7.4,7.0,5.5,3.1,1.4,1.3,1.3
orb,540,7th
drb,854,54th
ast,554,16th
stl,282,27th
blk,105,177th
tov,457,221st
pf,560,242nd
opp_fg_pct,.403,43rd
opp_fg2_pct,.458,100th
opp_fg3_pct,.300,19th
opp_orb,369,191st
opp_drb,733,140th
opp_ast,402,149th
opp_stl,231,260th
opp_blk,129,280th
opp_tov,509,54th
opp_pf,615,213th
opp_pts_per_g,57.5,6th
SOS:,1.78
ORtg:,106.2
DRtg:,91.0
baylor
g,36,0,36,0,36,32,36,36,36,36,36,25,29,15,21,15,16
fg_pct,.487,10th,.450,.436,.490,.697,.697,.415,.495,.442,.293,.462,.391,.125,.333
fga,2040,35th
fg2_pct,.536,15th,.487,.500,.505,.697,.697,.456,.517,.517,.261,.455,.409,.000,.500
fg2a,1378,50th
fg3_pct,.385,26th,.419,.385,.269,0,0,.333,.459,.286,.333,.500,.000,.167,.000
fg3a,662,80th
ft_pct,.725,55th,.857,.788,.685,.716,.711,.638,.558,.500,.833,.667,.692,.500,.667
fta,731,98th
pts_per_g,77.0,29th,19.6,15.0,13.9,9.3,6.6,6.2,3.8,2.2,1.4,1.4,1.3,0.5,0.4
orb,443,44th
drb,965,9th
ast,508,43rd
stl,237,99th
blk,242,5th
tov,491,297th
pf,639,82nd
opp_fg_pct,.382,5th
opp_fg2_pct,.409,3rd
opp_fg3_pct,.332,124th
opp_orb,470,336th
opp_drb,708,82nd
opp_ast,471,308th
opp_stl,217,191st
opp_blk,85,43rd
opp_tov,435,192nd
opp_pf,660,280th
opp_pts_per_g,65.6,97th
SOS:,8.03
ORtg:,113.8
DRtg:,97.0
sam-houston-state
g,33,0,33,0,33,33,33,32,33,33,25,33,9,17,23,27
fg_pct,.463,45th,.573,.437,.455,.434,.512,.361,.489,.351,.333,.471,.560,.519
fga,1963,60th
fg2_pct,.524,29th,.590,.537,.506,.458,.592,.386,.489,.373,.400,.500,.560,.519
fg2a,1188,180th
fg3_pct,.370,57th,.143,.374,.393,.395,.405,.351,0,.333,.222,.429,0,0
fg3a,775,18th
ft_pct,.703,126th,.729,.734,.744,.625,.648,.689,.690,.792,1.000,1.000,.545,.625
fta,727,103rd
pts_per_g,79.3,16th,17.1,15.8,12.4,9.1,8.0,5.8,4.3,4.2,2.3,2.3,1.5,1.2
orb,410,85th
drb,837,72nd
ast,673,1st
stl,257,56th
blk,85,247th
tov,442,185th
pf,661,47th
opp_fg_pct,.430,169th
opp_fg2_pct,.482,205th
opp_fg3_pct,.329,109th
opp_orb,342,116th
opp_drb,765,208th
opp_ast,544,344th
opp_stl,210,163rd
opp_blk,94,80th
opp_tov,510,53rd
opp_pf,676,302nd
opp_pts_per_g,69.2,197th
SOS:,-3.37
ORtg:,111.5
DRtg:,97.4
richmond
g,35,0,35,0,35,35,35,35,35,34,35,35,1,24,8,29,21,4
fg_pct,.447,104th,.457,.451,.483,.438,.396,.500,.540,.408,1.000,.371,.364,.350,.273,0
fga,1943,72nd
fg2_pct,.499,96th,.491,.556,.583,.505,.432,.553,.566,.400,1.000,.321,1.000,.387,.375,0
fg2a,1239,129th
fg3_pct,.355,107th,.339,.365,.344,.394,.225,.433,.400,1.000,0,.571,.222,.222,.214,0
fg3a,704,43rd
ft_pct,.700,136th,.816,.705,.681,.756,.634,.667,.541,.457,0,.842,1.000,.833,.333,.000
fta,630,221st
pts_per_g,69.3,161st,17.8,14.6,10.6,8.4,6.8,2.7,2.6,2.3,2.0,1.9,1.8,1.6,0.8,0.0
orb,310,287th
drb,829,79th
ast,442,120th
stl,289,20th
blk,158,40th
tov,392,51st
pf,634,89th
opp_fg_pct,.395,18th
opp_fg2_pct,.438,32nd
opp_fg3_pct,.301,21st
opp_orb,462,327th
opp_drb,865,332nd
opp_ast,347,36th
opp_stl,190,78th
opp_blk,117,233rd
opp_tov,528,30th
opp_pf,625,229th
opp_pts_per_g,62.7,45th
SOS:,3.43
ORtg:,104.4
DRtg:,94.5
saint-marys-ca
g,34,0,34,0,34,34,34,7,34,34,1,34,32,23,18,17,17
fg_pct,.484,11th,.553,.508,.390,.449,.491,.415,1.000,.510,.400,.688,.474,.375,.500
fga,1950,69th
fg2_pct,.528,22nd,.554,.506,.379,.478,.563,.520,0,.537,.488,.759,.500,.444,.600
fg2a,1251,124th
fg3_pct,.406,6th,.000,.510,.398,.391,.393,.377,1.000,.143,.333,.000,.400,.286,.000
fg3a,699,51st
ft_pct,.761,6th,.727,.841,.850,.400,.821,.813,0,.592,.826,.682,.833,.727,.400
fta,652,197th
pts_per_g,78.5,21st,21.3,13.8,12.1,11.0,10.7,6.9,6.0,3.9,3.7,2.6,1.9,1.3,0.8
orb,370,168th
drb,874,41st
ast,543,22nd
stl,168,305th
blk,176,25th
tov,394,55th
pf,560,242nd
opp_fg_pct,.423,127th
opp_fg2_pct,.461,113th
opp_fg3_pct,.301,23rd
opp_orb,390,242nd
opp_drb,706,76th
opp_ast,332,24th
opp_stl,192,87th
opp_blk,79,24th
opp_tov,369,308th
opp_pf,599,177th
opp_pts_per_g,66.4,124th
SOS:,2.20
ORtg:,116.7
DRtg:,98.7
villanova
g,33,0,33,0,33,33,33,32,32,23,33,33,21,29,26,8,1
