indiana
g,36,0,36,0,36,36,36,36,36,36,36,33,7,24,19,20,13,13,3,10
fg_pct,.482,8th,.564,.599,.431,.446,.486,.403,.469,.403,.571,.288,.286,.385,.667,.667,.000,.000
fga,1971,46th
fg2_pct,.520,28th,.567,.644,.394,.443,.551,.453,.462,.511,.750,.238,.333,.385,.667,.667,.000,.000
fg2a,1334,65th
fg3_pct,.403,4th,.000,.441,.480,.447,.346,.303,.485,.233,.333,.323,.222,0,0,0,0,0
fg3a,637,108th
ft_pct,.743,31st,.757,.746,.811,.776,.656,.798,.750,.632,.571,.800,.700,.412,.000,0,0,0
fta,904,2nd
pts_per_g,78.6,5th,16.5,13.6,12.3,9.7,9.5,7.6,4.0,2.8,1.9,1.8,1.1,0.9,0.3,0.3,0.0,0.0
orb,438,33rd
drb,832,14th
ast,514,39th
stl,256,61st
blk,130,107th
tov,468,267th
pf,598,123rd
opp_fg_pct,.390,22nd
opp_fg2_pct,.432,37th
opp_fg3_pct,.304,32nd
opp_orb,428,325th
opp_drb,686,43rd
opp_ast,353,49th
opp_stl,229,237th
opp_blk,150,337th
opp_tov,509,45th
opp_pf,735,345th
opp_pts_per_g,62.1,58th
SOS:,8.38
ORtg:,116.3
DRtg:,91.9
james-madison
g,36,0,36,0,35,35,35,7,35,32,34,35,25,34,9,17
fg_pct,.421,234th,.481,.408,.474,.460,.393,.397,.333,.425,.500,.395,.250,.125
fga,1941,63rd
fg2_pct,.462,246th,.641,.414,.495,.455,.455,.459,.388,.462,.508,.395,.667,.125
fg2a,1313,76th
fg3_pct,.336,198th,.372,.359,.393,.464,.310,.324,.280,.217,.000,0,.111,0
fg3a,628,117th
ft_pct,.699,165th,.688,.691,.747,.786,.731,.691,.688,.673,.440,.643,1.000,.500
fta,714,77th
pts_per_g,65.2,231st,12.2,12.1,11.1,10.0,9.3,5.8,5.7,4.9,3.0,2.3,1.0,0.2
orb,365,160th
drb,699,100th
ast,423,143rd
stl,272,37th
blk,166,28th
tov,401,96th
pf,620,83rd
opp_fg_pct,.428,171st
opp_fg2_pct,.469,165th
opp_fg3_pct,.347,227th
opp_orb,368,218th
opp_drb,870,331st
opp_ast,455,278th
opp_stl,191,83rd
opp_blk,111,177th
opp_tov,490,69th
opp_pf,593,210th
opp_pts_per_g,64.6,122nd
SOS:,-2.28
ORtg:,100.9
DRtg:,100.0
north-carolina-state
g,35,0,35,0,35,35,35,33,35,35,3,34,7,23,13,12,12
fg_pct,.496,4th,.519,.570,.436,.419,.622,.442,.545,.378,.286,.500,.182,.250,.500
fga,1987,40th
fg2_pct,.528,17th,.522,.570,.415,.465,.632,.468,.750,.420,1.000,.533,.000,.250,.000
fg2a,1516,11th
fg3_pct,.391,13th,.333,0,.441,.263,.519,.385,.429,.292,.167,.000,.222,0,1.000
fg3a,471,306th
ft_pct,.681,214th,.612,.648,.914,.771,.542,.512,0,.859,0,.250,0,.750,0
fta,813,14th
pts_per_g,77.4,9th,15.1,12.7,12.6,12.4,12.1,8.3,5.0,3.5,0.7,0.7,0.5,0.4,0.3
orb,396,93rd
drb,790,34th
ast,511,41st
stl,227,136th
blk,147,65th
tov,433,182nd
pf,544,228th
opp_fg_pct,.419,128th
opp_fg2_pct,.475,188th
opp_fg3_pct,.302,26th
opp_orb,430,327th
opp_drb,746,158th
opp_ast,410,181st
opp_stl,209,151st
opp_blk,124,262nd
opp_tov,400,240th
opp_pf,641,285th
opp_pts_per_g,70.2,263rd
SOS:,7.17
ORtg:,112.4
DRtg:,102.0
temple
g,34,0,34,0,34,34,32,34,33,34,32,29,28,6,10,6
