north-carolina
g,40,0,40,0,40,40,34,40,33,40,39,40,37,33,29,13,14,18,18,16
fg_pct,.482,17th,.614,.444,.398,.466,.548,.614,.386,.404,.453,.390,.364,.250,.250,.125,.111,.000
fga,2560,1st
fg2_pct,.539,24th,.614,.495,.459,.537,.548,.614,.431,.494,.453,.412,.778,.500,.500,.167,.500,.000
fg2a,1875,1st
fg3_pct,.327,268th,0,.382,.356,.292,0,0,.325,.286,0,.286,.077,.000,.000,.000,.000,.000
fg3a,685,144th
ft_pct,.747,27th,.783,.867,.774,.667,.689,.756,.800,.672,.522,.429,1.000,0,.500,.500,0,0
fta,826,35th
pts_per_g,82.8,10th,17.0,12.8,12.6,12.2,9.2,8.9,5.4,4.5,2.2,1.2,0.8,0.2,0.2,0.2,0.1,0.0
orb,557,1st
drb,1067,3rd
ast,708,2nd
stl,269,19th
blk,177,17th
tov,430,230th
pf,718,27th
opp_fg_pct,.417,77th
opp_fg2_pct,.447,40th
opp_fg3_pct,.362,278th
opp_orb,441,341st
opp_drb,841,224th
opp_ast,434,188th
opp_stl,225,298th
opp_blk,122,265th
opp_tov,510,20th
opp_pf,732,328th
opp_pts_per_g,70.0,126th
SOS:,10.69
ORtg:,117.8
DRtg:,99.6
florida-gulf-coast
g,35,0,35,0,35,35,35,33,34,35,23,32,34,31,18,10,12,4
fg_pct,.479,23rd,.545,.445,.473,.425,.541,.545,.576,.356,.362,.491,.429,.500,.400,.000
fga,2106,37th
fg2_pct,.521,61st,.548,.496,.502,.477,.544,.634,.576,.308,.413,.491,.364,.500,.500,.000
fg2a,1579,6th
fg3_pct,.353,145th,.000,.359,.380,.333,.000,.359,0,.361,.302,0,.500,.500,.333,0
fg3a,527,319th
ft_pct,.644,331st,.672,.717,.650,.583,.625,.714,.472,.333,.591,.571,.571,0,0,.000
fta,778,72nd
pts_per_g,77.2,76th,17.1,12.7,11.1,8.7,7.9,6.2,5.7,4.4,3.7,2.1,1.5,0.5,0.4,0.0
orb,412,57th
drb,1010,15th
ast,483,101st
stl,230,76th
blk,141,70th
tov,441,266th
pf,674,82nd
opp_fg_pct,.412,58th
opp_fg2_pct,.473,121st
opp_fg3_pct,.304,12th
opp_orb,385,278th
opp_drb,850,244th
opp_ast,415,149th
opp_stl,234,319th
opp_blk,111,192nd
opp_tov,422,152nd
opp_pf,663,229th
opp_pts_per_g,70.7,146th
SOS:,-3.82
ORtg:,107.9
DRtg:,98.8
southern-california
g,34,0,34,0,34,34,31,33,34,34,34,26,27,27,18,6
fg_pct,.459,70th,.470,.524,.471,.394,.442,.438,.520,.448,.375,.432,.467,1.000
fga,2138,27th
fg2_pct,.494,160th,.498,.523,.500,.436,.509,.450,.524,.448,.464,.455,.455,1.000
fg2a,1450,21st
fg3_pct,.387,20th,.424,.538,.326,.359,.373,.429,.000,0,.250,.250,.500,0
fg3a,688,139th
