syracuse
g,37,0,37,0,37,37,37,37,37,30,37,7,37,26,35,10,2,13,9,9,11,3,2
fg_pct,.467,43rd,.421,.476,.422,.474,.464,.566,.466,.273,.573,.431,.711,.556,1.000,.125,.333,1.000,.250,.000,.000
fga,2156,10th
fg2_pct,.519,41st,.467,.529,.473,.534,.487,.566,.615,.200,.573,.450,.711,.500,1.000,.167,0,1.000,.500,.000,.000
fg2a,1488,12th
fg3_pct,.349,145th,.345,.363,.350,.379,.250,0,.336,.294,0,.389,0,.571,0,.000,.333,0,.000,0,.000
fg3a,668,74th
ft_pct,.698,149th,.745,.729,.775,.551,.743,.633,.697,.600,.571,.565,.667,0,0,.714,0,0,0,0,0
fta,709,107th
pts_per_g,74.1,40th,13.4,12.6,9.4,8.9,8.5,7.8,6.8,2.9,2.8,2.7,2.3,1.4,1.0,0.5,0.3,0.2,0.2,0.0,0.0
orb,459,25th
drb,722,83rd
ast,564,20th
stl,338,4th
blk,255,2nd
tov,388,58th
pf,574,188th
opp_fg_pct,.385,8th
opp_fg2_pct,.425,14th
opp_fg3_pct,.315,54th
opp_orb,541,344th
opp_drb,807,280th
opp_ast,497,324th
opp_stl,195,122nd
opp_blk,100,123rd
opp_tov,591,6th
opp_pf,638,254th
opp_pts_per_g,61.0,32nd
SOS:,8.02
ORtg:,113.3
DRtg:,93.3
north-carolina-asheville
g,34,0,34,0,34,34,33,34,26,34,34,23,16,29,17,8,23,10,11
fg_pct,.482,14th,.448,.431,.485,.546,.575,.518,.435,.435,.452,.418,.737,.714,.619,.400,.100
fga,1907,75th
fg2_pct,.545,8th,.529,.512,.520,.590,.654,.530,.479,.435,.414,.591,.737,.714,.619,.500,.500
fg2a,1278,95th
fg3_pct,.355,117th,.367,.366,.328,.341,.341,.450,.357,0,1.000,.303,0,0,0,.000,.000
fg3a,629,120th
ft_pct,.764,9th,.867,.842,.755,.735,.792,.424,.636,.808,.800,.625,.500,.400,.429,.750,.333
fta,893,6th
pts_per_g,80.7,5th,16.1,15.4,12.8,11.7,11.5,5.2,4.0,2.7,2.4,2.1,1.8,1.5,1.3,0.7,0.4
orb,377,129th
drb,716,86th
ast,566,16th
stl,283,24th
blk,88,240th
tov,456,228th
pf,612,115th
